Country Name,Country Code,Time,Time Code,"Cause of death, by injury (% of total) [SH.DTH.INJR.ZS]","Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP, PPP (constant 2017 international $) [NY.GDP.MKTP.PP.KD]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",GNI (current US$) [NY.GNP.MKTP.CD],GNI growth (annual %) [NY.GNP.MKTP.KD.ZG],GNI per capita growth (annual %) [NY.GNP.PCAP.KD.ZG],"GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Government Effectiveness: Estimate [GE.EST],Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Rule of Law: Estimate [RL.EST],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST]
Afghanistan,AFG,1960,YR1960,..,..,..,62.3693745050559,..,537777811.111111,..,..,..,548888848.888889,..,..,..,..,..,50000000,..,8622466,..,..,31.921,..
Afghanistan,AFG,1961,YR1961,..,..,..,62.4437034626929,..,548888895.555556,..,..,..,560000022.222222,..,..,..,..,..,53000000,1.92595161110872,8790140,..,..,31.349,..
Afghanistan,AFG,1962,YR1962,..,..,..,60.9503638210144,..,546666677.777778,..,..,..,557777806.666667,..,..,..,..,..,58000000,2.01487886339461,8969047,..,..,30.845,..
Afghanistan,AFG,1963,YR1963,..,..,..,82.0217375781519,..,751111191.111111,..,..,..,766666706.666667,..,..,..,..,..,70000000,2.07899662655224,9157465,..,..,30.359,..
Afghanistan,AFG,1964,YR1964,..,..,..,85.5110734102311,..,800000044.444444,..,..,..,815555562.222222,..,..,..,..,..,64000000,2.13965084372647,9355514,..,..,29.867,..
Afghanistan,AFG,1965,YR1965,..,..,..,105.243195716467,..,1006666637.77778,..,..,..,1026666677.77778,..,..,..,..,..,74000000,2.21600692082533,9565147,..,..,29.389,..
Afghanistan,AFG,1966,YR1966,..,..,..,143.103233209791,..,1399999966.66667,..,..,..,1428888871.11111,..,..,..,..,..,67000000,2.25352401228011,9783147,..,..,28.872,..
Afghanistan,AFG,1967,YR1967,..,..,..,167.165674606148,..,1673333417.77778,..,..,..,1708888882.22222,..,..,..,..,..,66000000,2.29263788976095,10010030,..,..,28.396,..
Afghanistan,AFG,1968,YR1968,..,..,..,134.012768293881,..,1373333366.66667,..,..,..,1402222182.22222,..,..,..,..,..,72000000,2.34735064349307,10247780,..,..,27.895,..
Afghanistan,AFG,1969,YR1969,..,..,..,134.250359614672,..,1408888922.22222,..,..,..,1437777737.77778,..,..,..,..,..,82000000,2.37891654743303,10494489,..,..,27.398,..
Afghanistan,AFG,1970,YR1970,..,..,..,162.642175409527,..,1748886595.55556,..,..,..,1784444426.66667,..,..,..,..,..,86000000,2.43318262480668,10752971,..,..,26.875,..
Afghanistan,AFG,1971,YR1971,..,..,..,166.224831269243,..,1831108971.11111,..,..,..,1868886653.33333,..,..,..,..,..,100000000,2.41536917407618,11015857,..,..,26.364,..
Afghanistan,AFG,1972,YR1972,..,..,..,141.36532229912,..,1595555475.55556,..,..,..,1631108937.77778,..,..,..,..,..,122000000,2.42939569274321,11286753,..,..,25.845,..
Afghanistan,AFG,1973,YR1973,..,..,..,149.74406846683,..,1733333264.44444,..,..,..,1771108944.44444,..,..,..,..,..,143000000,2.52442123659969,11575305,..,..,25.297,..
Afghanistan,AFG,1974,YR1974,..,..,..,181.59877600924,..,2155555497.77778,..,..,..,2202222228.88889,..,..,..,..,..,230000000,2.51300652866696,11869879,..,..,24.773,..
Afghanistan,AFG,1975,YR1975,..,..,..,194.66903621844,..,2366666615.55556,..,..,..,2417777777.77778,..,..,..,..,..,217000000,2.39328715201941,12157386,..,..,24.241,..
Afghanistan,AFG,1976,YR1976,..,..,..,205.674096714917,..,2555555566.66667,..,..,..,2611111162.22222,..,..,..,..,..,291000000,2.17951743613923,12425267,..,..,23.718,..
Afghanistan,AFG,1977,YR1977,..,..,..,232.778698777445,..,2953333417.77778,..,..,..,3017777697.77778,..,..,..,..,..,306000000,2.08695112645253,12687301,..,..,23.179,..
Afghanistan,AFG,1978,YR1978,..,..,..,255.045622164367,..,3300000108.88889,..,..,..,3371111037.77778,..,..,..,..,..,321000000,1.96337688969092,12938862,..,..,23.875,..
Afghanistan,AFG,1979,YR1979,..,..,..,284.755531712597,..,3697940409.61098,..,..,..,3775743789.47368,..,..,..,..,..,474000000,0.366492805213276,12986369,..,..,24.797,..
Afghanistan,AFG,1980,YR1980,..,..,..,291.649791044155,..,3641723321.99546,..,..,..,3716553247.16553,..,..,..,..,..,670000000,-3.92417169353628,12486631,..,..,24.209,..
Afghanistan,AFG,1981,YR1981,..,..,..,311.853617000053,..,3478787909.09091,..,..,..,3551514995.9596,..,..,..,..,..,694000000,-11.2753243281662,11155195,..,..,23.611,..
Afghanistan,AFG,1982,YR1982,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,708000000,-10.0530062531184,10088289,..,..,25.622,..
Afghanistan,AFG,1983,YR1983,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,729000000,-1.36570774423119,9951449,..,..,25.107,..
Afghanistan,AFG,1984,YR1984,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,633000000,2.89433470700097,10243686,..,..,30.03,..
Afghanistan,AFG,1985,YR1985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,567000000,2.58769693348811,10512221,..,..,29.661,..
Afghanistan,AFG,1986,YR1986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,552000000,-0.608560872677256,10448442,..,..,23.705,..
Afghanistan,AFG,1987,YR1987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512000000,-1.21019039755447,10322758,..,..,23.285,..
Afghanistan,AFG,1988,YR1988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,395000000,0.586318311683292,10383460,..,..,19.945,..
Afghanistan,AFG,1989,YR1989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,236000000,2.75187729340688,10673168,..,..,19.047,..
Afghanistan,AFG,1990,YR1990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,235000000,0.202433955671883,10694796,..,2046.87,18.449,..
Afghanistan,AFG,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189000000,0.469880406765633,10745167,..,1941.37,17.946,..
Afghanistan,AFG,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,181000000,11.5225244151801,12057433,..,1525.47,17.222,..
